Zonas  Turísticas;Periodo;Total
Andalucía: Costa De Almería;2022M08;5,74
Andalucía: Costa De Almería;2022M07;4,82
Andalucía: Costa De Almería;2022M06;4,01
Andalucía: Costa De Almería;2022M05;2,09
Andalucía: Costa De Almería;2022M04;3,17
Andalucía: Costa De Almería;2022M03;6,33
Andalucía: Costa De Almería;2022M02;4,58
Andalucía: Costa De Almería;2022M01;8,25
Andalucía: Costa De Almería;2021M12;5,14
Andalucía: Costa De Almería;2021M11;6,57
Andalucía: Costa De Almería;2021M10;5,04
Andalucía: Costa De Almería;2021M09;4,75
Andalucía: Costa De Almería;2021M08;5,4
Andalucía: Costa De Almería;2021M07;5,23
Andalucía: Costa De Almería;2021M06;3,61
Andalucía: Costa De Almería;2021M05;3,24
Andalucía: Costa De Almería;2021M04;3,92
Andalucía: Costa De Almería;2021M03;7,16
Andalucía: Costa De Almería;2021M02;4,82
Andalucía: Costa De Almería;2021M01;5,71
Andalucía: Costa De Almería;2020M12;7,49
Andalucía: Costa De Almería;2020M11;6,61
Andalucía: Costa De Almería;2020M10;5,53
Andalucía: Costa De Almería;2020M09;4,23
Andalucía: Costa De Almería;2020M08;4,76
Andalucía: Costa De Almería;2020M07;4,55
Andalucía: Costa De Almería;2020M06;.
Andalucía: Costa De Almería;2020M05;.
Andalucía: Costa De Almería;2020M04;0
Andalucía: Costa De Almería;2020M03;2,74
Andalucía: Costa De Almería;2020M02;5,96
Andalucía: Costa De Almería;2020M01;8,15
Andalucía: Costa De Almería;2019M12;7,88
Andalucía: Costa De Almería;2019M11;6,95
Andalucía: Costa De Almería;2019M10;6,36
Andalucía: Costa De Almería;2019M09;4,87
Andalucía: Costa De Almería;2019M08;6,04
Andalucía: Costa De Almería;2019M07;5,22
Andalucía: Costa De Almería;2019M06;4,19
Andalucía: Costa De Almería;2019M05;3,36
Andalucía: Costa De Almería;2019M04;3,72
Andalucía: Costa De Almería;2019M03;4,51
Andalucía: Costa De Almería;2019M02;4,44
Andalucía: Costa De Almería;2019M01;6,53
Andalucía: Costa De Almería;2018M12;6,84
Andalucía: Costa De Almería;2018M11;7,35
Andalucía: Costa De Almería;2018M10;5,94
Andalucía: Costa De Almería;2018M09;5,21
Andalucía: Costa De Almería;2018M08;5,87
Andalucía: Costa De Almería;2018M07;5,99
Andalucía: Costa De Almería;2018M06;4,37
Andalucía: Costa De Almería;2018M05;3,73
Andalucía: Costa De Almería;2018M04;3,54
Andalucía: Costa De Almería;2018M03;4,01
Andalucía: Costa De Almería;2018M02;5,85
Andalucía: Costa De Almería;2018M01;6,45
Andalucía: Costa De Almería;2017M12;4,39
Andalucía: Costa De Almería;2017M11;6,77
Andalucía: Costa De Almería;2017M10;5,54
Andalucía: Costa De Almería;2017M09;4,87
Andalucía: Costa De Almería;2017M08;6,33
Andalucía: Costa De Almería;2017M07;6,01
Andalucía: Costa De Almería;2017M06;4,34
Andalucía: Costa De Almería;2017M05;3,21
Andalucía: Costa De Almería;2017M04;3,08
Andalucía: Costa De Almería;2017M03;5,19
Andalucía: Costa De Almería;2017M02;5,24
Andalucía: Costa De Almería;2017M01;6,55
Andalucía: Costa De Almería;2016M12;4,56
Andalucía: Costa De Almería;2016M11;5,01
Andalucía: Costa De Almería;2016M10;5,17
Andalucía: Costa De Almería;2016M09;4,72
