Zonas  Turísticas;Apartamentos y personal empleado;Periodo;Total
Andalucía: Costa De Almería;Número de plazas estimadas;2022M08;12.369
Andalucía: Costa De Almería;Número de plazas estimadas;2022M07;12.386
Andalucía: Costa De Almería;Número de plazas estimadas;2022M06;11.532
Andalucía: Costa De Almería;Número de plazas estimadas;2022M05;10.752
Andalucía: Costa De Almería;Número de plazas estimadas;2022M04;9.634
Andalucía: Costa De Almería;Número de plazas estimadas;2022M03;6.396
Andalucía: Costa De Almería;Número de plazas estimadas;2022M02;6.201
Andalucía: Costa De Almería;Número de plazas estimadas;2022M01;6.071
Andalucía: Costa De Almería;Número de plazas estimadas;2021M12;5.737
Andalucía: Costa De Almería;Número de plazas estimadas;2021M11;5.829
Andalucía: Costa De Almería;Número de plazas estimadas;2021M10;6.064
Andalucía: Costa De Almería;Número de plazas estimadas;2021M09;12.839
Andalucía: Costa De Almería;Número de plazas estimadas;2021M08;13.737
Andalucía: Costa De Almería;Número de plazas estimadas;2021M07;13.488
Andalucía: Costa De Almería;Número de plazas estimadas;2021M06;12.134
Andalucía: Costa De Almería;Número de plazas estimadas;2021M05;5.799
Andalucía: Costa De Almería;Número de plazas estimadas;2021M04;5.394
Andalucía: Costa De Almería;Número de plazas estimadas;2021M03;5.200
Andalucía: Costa De Almería;Número de plazas estimadas;2021M02;4.387
Andalucía: Costa De Almería;Número de plazas estimadas;2021M01;4.265
Andalucía: Costa De Almería;Número de plazas estimadas;2020M12;4.809
Andalucía: Costa De Almería;Número de plazas estimadas;2020M11;4.563
Andalucía: Costa De Almería;Número de plazas estimadas;2020M10;4.704
Andalucía: Costa De Almería;Número de plazas estimadas;2020M09;11.010
Andalucía: Costa De Almería;Número de plazas estimadas;2020M08;12.758
Andalucía: Costa De Almería;Número de plazas estimadas;2020M07;12.512
Andalucía: Costa De Almería;Número de plazas estimadas;2020M06;.
Andalucía: Costa De Almería;Número de plazas estimadas;2020M05;.
Andalucía: Costa De Almería;Número de plazas estimadas;2020M04;0
Andalucía: Costa De Almería;Número de plazas estimadas;2020M03;2.843
Andalucía: Costa De Almería;Número de plazas estimadas;2020M02;5.408
Andalucía: Costa De Almería;Número de plazas estimadas;2020M01;5.336
Andalucía: Costa De Almería;Número de plazas estimadas;2019M12;5.637
Andalucía: Costa De Almería;Número de plazas estimadas;2019M11;5.566
Andalucía: Costa De Almería;Número de plazas estimadas;2019M10;7.150
Andalucía: Costa De Almería;Número de plazas estimadas;2019M09;13.148
Andalucía: Costa De Almería;Número de plazas estimadas;2019M08;13.486
Andalucía: Costa De Almería;Número de plazas estimadas;2019M07;13.462
Andalucía: Costa De Almería;Número de plazas estimadas;2019M06;13.195
Andalucía: Costa De Almería;Número de plazas estimadas;2019M05;11.023
Andalucía: Costa De Almería;Número de plazas estimadas;2019M04;10.194
Andalucía: Costa De Almería;Número de plazas estimadas;2019M03;5.503
Andalucía: Costa De Almería;Número de plazas estimadas;2019M02;5.454
Andalucía: Costa De Almería;Número de plazas estimadas;2019M01;5.791
Andalucía: Costa De Almería;Número de plazas estimadas;2018M12;5.902
Andalucía: Costa De Almería;Número de plazas estimadas;2018M11;5.479
Andalucía: Costa De Almería;Número de plazas estimadas;2018M10;6.957
Andalucía: Costa De Almería;Número de plazas estimadas;2018M09;12.865
Andalucía: Costa De Almería;Número de plazas estimadas;2018M08;13.214
Andalucía: Costa De Almería;Número de plazas estimadas;2018M07;13.137
Andalucía: Costa De Almería;Número de plazas estimadas;2018M06;12.709
Andalucía: Costa De Almería;Número de plazas estimadas;2018M05;11.341
Andalucía: Costa De Almería;Número de plazas estimadas;2018M04;9.927
Andalucía: Costa De Almería;Número de plazas estimadas;2018M03;6.307
Andalucía: Costa De Almería;Número de plazas estimadas;2018M02;5.290
Andalucía: Costa De Almería;Número de plazas estimadas;2018M01;5.257
Andalucía: Costa De Almería;Número de plazas estimadas;2017M12;4.987
Andalucía: Costa De Almería;Número de plazas estimadas;2017M11;5.213
Andalucía: Costa De Almería;Número de plazas estimadas;2017M10;5.804
Andalucía: Costa De Almería;Número de plazas estimadas;2017M09;12.075
Andalucía: Costa De Almería;Número de plazas estimadas;2017M08;12.417
Andalucía: Costa De Almería;Número de plazas estimadas;2017M07;12.010
